source_neuron,target_neuron,weight,delay,source_pop,target_pop
1,20,2678.907217,1.600000,0,0
1,8,2706.346438,0.900000,0,0
1,5,2924.888546,1.900000,0,0
1,3,2858.966632,1.200000,0,0
2,6,2809.598766,0.500000,0,0
3,15,2953.175237,1.500000,0,0
5,1,2598.829056,2.100000,0,0
5,10,2398.764775,1.000000,0,0
6,14,3446.050699,1.300000,0,0
6,11,2819.572520,1.400000,0,0
6,3,2771.699637,0.900000,0,0
6,14,2552.423213,2.600000,0,0
6,11,3066.825860,1.300000,0,0
7,18,2955.161657,2.000000,0,0
7,15,2493.118100,1.200000,0,0
7,1,3539.695317,1.700000,0,0
8,1,2713.022123,0.600000,0,0
9,17,3002.708644,1.600000,0,0
10,5,3529.825306,2.300000,0,0
11,17,2954.821417,1.400000,0,0
11,20,2859.859867,1.600000,0,0
11,15,2751.957201,0.900000,0,0
12,21,2804.146910,2.000000,0,0
12,11,2957.706004,1.200000,0,0
12,18,2836.155960,2.600000,0,0
12,5,2926.397515,0.400000,0,0
12,9,2816.699540,1.400000,0,0
13,19,3122.206670,2.100000,0,0
13,16,2098.303503,2.100000,0,0
13,5,2464.196450,2.500000,0,0
13,17,3183.922234,1.900000,0,0
14,5,2777.886739,1.600000,0,0
14,4,2686.683980,1.400000,0,0
14,5,2319.200115,0.700000,0,0
15,3,3265.581430,2.400000,0,0
16,5,2770.410558,1.100000,0,0
17,19,2696.140150,3.300000,0,0
17,1,2658.304109,0.400000,0,0
18,2,2492.800407,1.700000,0,0
18,21,2899.995573,2.200000,0,0
19,10,2335.818488,2.000000,0,0
20,15,3064.696329,2.000000,0,0
20,17,2509.383951,2.800000,0,0
21,17,2169.524673,0.800000,0,0
21,13,2950.603137,2.500000,0,0
22,13,-10053.634771,0.900000,1,0
22,11,-12350.773279,0.200000,1,0
23,12,-9096.426866,0.900000,1,0
23,19,-11429.904626,0.200000,1,0
23,3,-10728.760846,1.200000,1,0
23,12,-12199.382067,1.000000,1,0
23,8,-11601.629271,0.700000,1,0
23,6,-11310.740562,0.500000,1,0
23,21,-12752.109812,1.200000,1,0
24,9,-11804.319309,1.400000,1,0
24,21,-9508.748880,0.700000,1,0
24,7,-11114.043072,1.000000,1,0
24,18,-11776.699776,1.000000,1,0
24,19,-10616.807273,0.400000,1,0
24,18,-8681.262368,1.000000,1,0
25,14,-10865.896782,0.800000,1,0
25,12,-10650.444779,0.700000,1,0
26,11,-10051.509544,1.000000,1,0
27,13,-10725.385519,1.200000,1,0
27,14,-11244.623634,0.400000,1,0
27,1,-10403.568096,0.400000,1,0
27,17,-11486.932010,0.100000,1,0
28,17,5030.667207,1.400000,2,0
28,1,4153.748617,1.700000,2,0
29,14,5179.758937,0.900000,2,0
31,15,5610.631963,1.100000,2,0
31,16,6513.699737,1.500000,2,0
31,7,5661.800914,1.800000,2,0
33,16,5757.688893,1.800000,2,0
33,8,5227.976271,1.600000,2,0
34,4,5727.837850,2.100000,2,0
38,7,6393.791276,2.700000,2,0
39,16,6775.042930,1.800000,2,0
41,15,6093.914521,1.700000,2,0
41,20,5682.129836,0.200000,2,0
41,8,4775.676734,1.800000,2,0
42,15,5809.137739,1.700000,2,0
42,16,6886.188293,1.600000,2,0
45,19,5310.372723,0.900000,2,0
47,20,5233.259338,2.000000,2,0
47,11,5744.855088,2.300000,2,0
47,17,5251.468596,0.500000,2,0
50,14,-9713.399624,0.600000,3,0
51,16,-11462.721891,0.400000,3,0
52,11,-8945.970473,0.500000,3,0
52,3,-10501.170893,0.300000,3,0
52,3,-11547.404847,0.700000,3,0
52,2,-11827.210565,0.800000,3,0
53,10,-10834.726999,0.900000,3,0
53,8,-11733.652546,0.800000,3,0
54,8,-11211.017086,0.600000,3,0
54,21,-12102.116802,0.600000,3,0
56,3,2805.667185,2.400000,4,0
56,18,2677.671773,2.400000,4,0
58,18,2517.834105,2.600000,4,0
64,9,3526.864372,1.400000,6,0
70,13,2792.738341,1.400000,6,0
2,23,3039.306827,1.400000,0,1
7,25,2812.760066,1.600000,0,1
8,24,2906.619161,1.400000,0,1
10,25,2701.192404,1.200000,0,1
11,23,3316.947152,2.000000,0,1
13,26,3010.280257,2.300000,0,1
13,26,3005.514339,1.100000,0,1
13,24,2739.903986,0.700000,0,1
15,26,2809.930807,1.000000,0,1
15,25,2342.212709,1.400000,0,1
15,23,2820.098404,1.400000,0,1
18,25,2808.821438,2.300000,0,1
18,23,2730.179004,1.200000,0,1
18,27,3369.385275,1.900000,0,1
19,22,3068.444718,2.500000,0,1
19,23,2235.951092,1.200000,0,1
20,26,2568.050992,1.300000,0,1
23,25,-10817.361004,0.300000,1,1
23,24,-9703.794964,0.200000,1,1
26,24,-9362.614909,0.500000,1,1
26,23,-9493.883273,0.500000,1,1
27,26,-10360.636426,0.700000,1,1
30,25,3010.084553,2.200000,2,1
31,25,2206.627839,1.500000,2,1
33,27,2444.509739,2.300000,2,1
37,25,2898.258815,1.600000,2,1
52,24,-11046.800300,1.100000,3,1
54,23,-12230.720036,0.600000,3,1
56,27,2355.070331,2.000000,4,1
57,25,2539.654927,1.300000,4,1
9,39,2810.966261,1.100000,0,2
16,37,2772.935327,0.300000,0,2
18,34,3352.723497,1.500000,0,2
18,38,3548.742720,1.400000,0,2
25,42,-11033.833282,1.200000,1,2
28,39,2823.054077,1.100000,2,2
30,31,3073.424342,1.700000,2,2
31,47,2990.834015,0.800000,2,2
32,47,2736.019026,2.500000,2,2
33,28,2526.019200,1.800000,2,2
33,30,2911.018036,1.300000,2,2
33,41,3067.387797,1.500000,2,2
33,39,2638.200312,2.500000,2,2
34,34,2240.755120,2.000000,2,2
34,34,3218.494641,1.000000,2,2
35,45,2978.476877,0.300000,2,2
36,36,2757.005136,1.900000,2,2
39,36,2353.715502,0.600000,2,2
40,42,3323.334569,1.600000,2,2
42,31,2888.780446,0.600000,2,2
43,49,2678.632491,1.800000,2,2
44,34,3024.972931,1.600000,2,2
45,35,3256.943466,0.200000,2,2
46,37,2835.524010,1.500000,2,2
46,39,2748.043882,1.700000,2,2
47,35,2999.514099,1.800000,2,2
47,44,2830.852615,2.700000,2,2
48,33,3000.775284,0.400000,2,2
49,41,3295.331813,0.400000,2,2
50,35,-10219.784396,1.400000,3,2
50,35,-11427.737245,0.300000,3,2
50,35,-12736.436742,1.000000,3,2
50,34,-8615.483642,0.500000,3,2
51,32,-12499.657416,1.000000,3,2
51,45,-11360.704648,0.400000,3,2
51,46,-9266.339894,0.700000,3,2
51,48,-11498.922181,1.200000,3,2
52,43,-13306.747188,0.800000,3,2
52,48,-11115.410633,0.200000,3,2
52,45,-9997.621440,1.200000,3,2
53,46,-10427.878969,0.800000,3,2
53,36,-9487.052977,1.100000,3,2
54,45,-13132.933415,0.500000,3,2
54,40,-10872.139167,1.300000,3,2
54,39,-8013.868157,1.000000,3,2
54,47,-11653.672878,0.900000,3,2
58,35,2629.840111,2.800000,4,2
61,29,2785.584813,1.500000,6,2
62,36,3132.313020,2.100000,6,2
63,45,3307.401200,0.500000,6,2
64,46,2794.487971,1.500000,6,2
64,42,2627.261341,0.800000,6,2
65,46,2951.855661,1.400000,6,2
67,28,2523.585515,2.100000,6,2
67,43,2729.135567,1.800000,6,2
67,37,2629.554529,3.200000,6,2
69,28,2901.056363,1.900000,6,2
69,40,3197.551666,3.200000,6,2
70,37,2823.601151,1.900000,6,2
72,48,3132.028777,1.000000,6,2
73,47,2845.067342,0.800000,6,2
74,40,1683.463296,0.700000,6,2
6,51,3036.604438,1.800000,0,3
8,54,2517.364681,2.000000,0,3
13,50,3169.008507,1.800000,0,3
15,54,2643.842255,2.000000,0,3
15,53,3146.905193,0.900000,0,3
16,54,2882.317374,2.300000,0,3
21,54,2799.202433,1.200000,0,3
21,51,2723.641855,0.600000,0,3
31,54,2654.075770,1.200000,2,3
35,53,2394.139477,0.600000,2,3
37,50,3105.307806,2.100000,2,3
37,54,2501.200739,0.900000,2,3
40,51,2710.308326,2.400000,2,3
45,53,2645.410653,2.300000,2,3
45,51,3480.210194,1.600000,2,3
46,54,3188.706516,1.800000,2,3
47,54,2927.243499,1.100000,2,3
49,54,2920.822091,2.000000,2,3
51,53,-9921.920602,0.400000,3,3
51,54,-9598.139337,1.000000,3,3
51,50,-9166.273572,0.400000,3,3
52,53,-11132.363757,0.300000,3,3
54,53,-10611.701001,1.400000,3,3
64,53,3498.044452,0.400000,6,3
64,51,2668.647758,0.700000,6,3
64,54,2411.107738,2.300000,6,3
70,53,2619.222145,1.000000,6,3
73,52,2768.722207,1.600000,6,3
73,50,2635.584188,1.600000,6,3
74,53,2523.465282,2.100000,6,3
74,52,2534.363543,2.500000,6,3
74,52,2388.172044,2.900000,6,3
1,59,2560.409935,1.400000,0,4
3,56,2829.946581,2.500000,0,4
5,55,2898.487512,0.700000,0,4
7,57,2564.389569,1.900000,0,4
9,56,2754.126295,1.400000,0,4
12,59,2645.409265,0.200000,0,4
16,58,3003.851379,1.200000,0,4
17,57,2378.504332,1.000000,0,4
18,58,3037.084591,1.100000,0,4
18,58,3332.434348,1.200000,0,4
18,56,2962.042635,1.600000,0,4
22,58,-8301.031097,1.100000,1,4
23,57,-9567.523434,0.900000,1,4
28,56,2124.617535,1.100000,2,4
28,58,2755.831929,2.400000,2,4
40,55,2839.839124,0.900000,2,4
41,56,2693.616982,1.800000,2,4
48,57,2586.880313,0.500000,2,4
49,58,2678.991150,1.300000,2,4
56,57,3008.501924,1.700000,4,4
58,59,2951.855053,2.700000,4,4
60,55,-9302.712562,0.800000,5,4
60,56,-10006.145424,0.500000,5,4
66,58,2757.908171,1.500000,6,4
16,60,2650.190615,2.600000,0,5
32,60,2597.906049,1.300000,2,5
1,63,2653.133980,2.000000,0,6
3,62,2255.729766,2.000000,0,6
14,70,3082.382391,1.700000,0,6
16,61,2515.342561,2.500000,0,6
21,74,2540.343949,0.600000,0,6
27,70,-11989.319954,0.900000,1,6
31,68,3415.757994,1.500000,2,6
32,73,2787.548710,1.600000,2,6
43,72,2752.781614,2.200000,2,6
44,70,2838.569071,2.800000,2,6
44,69,2754.844610,2.200000,2,6
46,63,2880.033758,0.200000,2,6
48,63,2629.835752,2.200000,2,6
52,72,-11210.157915,1.000000,3,6
55,61,2569.051178,1.400000,4,6
56,69,2402.730755,1.500000,4,6
58,69,2778.063113,2.400000,4,6
58,70,2800.887042,1.700000,4,6
63,61,2303.608338,2.000000,6,6
65,62,2470.068490,0.400000,6,6
67,63,2473.119080,1.100000,6,6
67,65,3061.734834,0.400000,6,6
68,61,2445.574852,0.900000,6,6
69,72,3033.352804,2.200000,6,6
73,74,2771.400286,2.600000,6,6
74,74,2787.573298,2.000000,6,6
75,68,-12703.355358,0.300000,7,6
75,62,-11804.091287,1.300000,7,6
75,64,-7812.634726,0.600000,7,6
76,74,-10902.891418,0.900000,7,6
76,72,-9488.061295,1.000000,7,6
76,73,-10355.094295,0.200000,7,6
77,65,-11360.025231,1.000000,7,6
77,63,-10066.528594,1.300000,7,6
77,62,-11460.742282,1.000000,7,6
77,61,-10949.889194,1.600000,7,6
77,68,-11119.364028,1.000000,7,6
17,76,2766.143090,1.800000,0,7
18,76,2910.495207,1.600000,0,7
61,75,2660.635267,1.800000,6,7
67,75,2690.956701,1.700000,6,7
72,76,2541.793306,1.300000,6,7
76,75,-10593.689597,0.800000,7,7
1,78,1.000000,1.000000,0,-2
2,78,1.000000,1.000000,0,-2
3,78,1.000000,1.000000,0,-2
4,78,1.000000,1.000000,0,-2
5,78,1.000000,1.000000,0,-2
6,78,1.000000,1.000000,0,-2
7,78,1.000000,1.000000,0,-2
8,78,1.000000,1.000000,0,-2
9,78,1.000000,1.000000,0,-2
10,78,1.000000,1.000000,0,-2
11,78,1.000000,1.000000,0,-2
12,78,1.000000,1.000000,0,-2
13,78,1.000000,1.000000,0,-2
14,78,1.000000,1.000000,0,-2
15,78,1.000000,1.000000,0,-2
16,78,1.000000,1.000000,0,-2
17,78,1.000000,1.000000,0,-2
18,78,1.000000,1.000000,0,-2
19,78,1.000000,1.000000,0,-2
20,78,1.000000,1.000000,0,-2
21,78,1.000000,1.000000,0,-2
22,79,1.000000,1.000000,1,-2
23,79,1.000000,1.000000,1,-2
24,79,1.000000,1.000000,1,-2
25,79,1.000000,1.000000,1,-2
26,79,1.000000,1.000000,1,-2
27,79,1.000000,1.000000,1,-2
28,80,1.000000,1.000000,2,-2
29,80,1.000000,1.000000,2,-2
30,80,1.000000,1.000000,2,-2
31,80,1.000000,1.000000,2,-2
32,80,1.000000,1.000000,2,-2
33,80,1.000000,1.000000,2,-2
34,80,1.000000,1.000000,2,-2
35,80,1.000000,1.000000,2,-2
36,80,1.000000,1.000000,2,-2
37,80,1.000000,1.000000,2,-2
38,80,1.000000,1.000000,2,-2
39,80,1.000000,1.000000,2,-2
40,80,1.000000,1.000000,2,-2
41,80,1.000000,1.000000,2,-2
42,80,1.000000,1.000000,2,-2
43,80,1.000000,1.000000,2,-2
44,80,1.000000,1.000000,2,-2
45,80,1.000000,1.000000,2,-2
46,80,1.000000,1.000000,2,-2
47,80,1.000000,1.000000,2,-2
48,80,1.000000,1.000000,2,-2
49,80,1.000000,1.000000,2,-2
50,81,1.000000,1.000000,3,-2
51,81,1.000000,1.000000,3,-2
52,81,1.000000,1.000000,3,-2
53,81,1.000000,1.000000,3,-2
54,81,1.000000,1.000000,3,-2
55,82,1.000000,1.000000,4,-2
56,82,1.000000,1.000000,4,-2
57,82,1.000000,1.000000,4,-2
58,82,1.000000,1.000000,4,-2
59,82,1.000000,1.000000,4,-2
60,83,1.000000,1.000000,5,-2
61,84,1.000000,1.000000,6,-2
62,84,1.000000,1.000000,6,-2
63,84,1.000000,1.000000,6,-2
64,84,1.000000,1.000000,6,-2
65,84,1.000000,1.000000,6,-2
66,84,1.000000,1.000000,6,-2
67,84,1.000000,1.000000,6,-2
68,84,1.000000,1.000000,6,-2
69,84,1.000000,1.000000,6,-2
70,84,1.000000,1.000000,6,-2
71,84,1.000000,1.000000,6,-2
72,84,1.000000,1.000000,6,-2
73,84,1.000000,1.000000,6,-2
74,84,1.000000,1.000000,6,-2
75,85,1.000000,1.000000,7,-2
76,85,1.000000,1.000000,7,-2
77,85,1.000000,1.000000,7,-2
